calendarID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,startDate,endDate
419,0,0,0,0,0,0,1,20231124,20250102
423,1,1,1,1,1,0,0,20231124,20250102
421,1,1,1,1,1,0,0,20231124,20250102
422,1,1,1,1,1,0,0,20231124,20250102
420,0,0,0,0,0,1,0,20231124,20250102
254,1,1,1,1,1,0,0,20230122,20240416
252,0,0,0,0,0,1,0,20230122,20240416
251,0,0,0,0,0,0,1,20230122,20240416
253,1,0,0,0,0,0,0,20230122,20240416
540,0,0,0,0,0,0,1,20240218,20240323
547,1,1,1,1,1,0,0,20240218,20240323
541,0,0,0,0,0,1,0,20240218,20240323
515,0,0,0,0,0,0,1,20240211,20240217
524,1,1,1,1,1,0,0,20240211,20240217
517,0,0,0,0,0,1,0,20240211,20240217
534,0,0,0,0,0,0,1,20240218,20240302
539,1,1,1,1,1,0,0,20240218,20240302
536,0,0,0,0,0,1,0,20240218,20240302
545,1,0,1,1,0,0,0,20240218,20240323
543,0,1,0,0,1,0,0,20240218,20240323
521,1,0,1,1,0,0,0,20240211,20240217
519,0,1,0,0,1,0,0,20240211,20240217
317,0,0,0,0,0,0,1,20230723,20240722
322,1,1,1,1,1,0,0,20230723,20240722
318,0,0,0,0,0,1,0,20230723,20240722
393,0,0,0,0,0,0,1,20231105,20240302
395,1,1,1,1,1,0,0,20231105,20240302
394,0,0,0,0,0,1,0,20231105,20240302
544,1,0,1,1,0,0,0,20240218,20240323
542,0,1,0,0,1,0,0,20240218,20240323
557,0,0,0,0,0,0,1,20240303,20250303
560,1,1,1,1,1,0,0,20240303,20250303
558,0,0,0,0,0,1,0,20240303,20250303
475,0,0,0,0,0,0,1,20240107,20250106
479,1,1,1,1,1,0,0,20240107,20250106
480,1,1,1,1,1,1,0,20240107,20250106
476,0,0,0,0,0,1,0,20240107,20250106
520,1,0,1,1,0,0,0,20240211,20240217
518,0,1,0,0,1,0,0,20240211,20240217
118,0,0,0,0,0,0,0,20211003,20250211
123,1,1,1,1,0,0,0,20211003,20250211
120,0,0,0,0,0,1,0,20211003,20250211
122,0,0,0,0,1,0,0,20211003,20250211
121,0,0,0,0,1,0,0,20211003,20250211
124,1,1,1,1,0,0,0,20211003,20250211
119,0,0,0,0,0,0,1,20211003,20250211
538,1,1,1,1,1,0,0,20240218,20240302
522,1,1,1,1,1,0,0,20240211,20240217
349,0,0,0,0,0,0,1,20230904,20240911
351,1,0,0,0,0,0,0,20230904,20240911
353,1,1,1,1,1,0,0,20230904,20240911
352,1,1,1,1,1,0,0,20230904,20240911
350,0,0,0,0,0,1,0,20230904,20240911
525,0,0,0,0,0,0,1,20240211,20240323
527,1,1,1,1,1,0,0,20240211,20240323
526,0,0,0,0,0,1,0,20240211,20240323
474,0,0,0,0,0,0,1,20240107,20250106
